angulo,X,Y,Z,XP,XN,YP,YN,ZP,ZN,Xr,Yr,Zr,XPr,XNr,YPr,YNr,ZPr,ZNr,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,X1r,X2r,X3r,X4r,Y1r,Y2r,Y3r,Y4r,Z1r,Z2r,Z3r,Z4r,S1P,S1N,S2P,S2N,S3P,S3N,S4P,S4N,P_EXC,P_ESQ,P_LAY
299.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34184e-09,3.75453e-08,3.75441e-08,3.75449e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44419e-09,3.78021e-08,3.78009e-08,3.78034e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741336,-0.0740884
300.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34185e-09,3.75453e-08,3.75412e-08,3.75464e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44422e-09,3.7802e-08,3.7801e-08,3.78036e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741341,-0.074089
300.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34187e-09,3.7545e-08,3.75445e-08,3.75442e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44424e-09,3.7802e-08,3.7801e-08,3.78038e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741349,-0.0740898
301.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.3419e-09,3.75453e-08,3.75423e-08,3.75456e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44426e-09,3.78018e-08,3.78013e-08,3.7804e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741358,-0.0740908
301.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34191e-09,3.75448e-08,3.75446e-08,3.75466e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44429e-09,3.78022e-08,3.78009e-08,3.78043e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741369,-0.074092
302.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34194e-09,3.75455e-08,3.75432e-08,3.75472e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44432e-09,3.78018e-08,3.78013e-08,3.7805e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741382,-0.0740934
302.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34199e-09,3.75425e-08,3.75429e-08,3.75486e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44436e-09,3.78018e-08,3.78013e-08,3.78053e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741397,-0.074095
303.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34201e-09,3.75451e-08,3.75445e-08,3.75454e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.4444e-09,3.78021e-08,3.78012e-08,3.78055e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741415,-0.0740969
303.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34205e-09,3.75436e-08,3.75421e-08,3.75477e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44445e-09,3.78018e-08,3.78013e-08,3.78065e-08,2.49988,2.50012,2.49998,2.50002,2.50002,2.49998,2.50012,2.49988,-0.0001,-0.0741436,-0.0740992
304.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34211e-09,3.75444e-08,3.75434e-08,3.75493e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.4445e-09,3.78019e-08,3.78014e-08,3.78068e-08,2.49988,2.50012,2.49998,2.50002,2.50002,2.49998,2.50012,2.49988,-0.0001,-0.074146,-0.0741019
