# bias1 bias2 bias3 bias4 gain
4.81 4.61 1.89 1.41 1.26995
4.81 4.61 1.89 1.42 1.09583
4.81 4.61 1.9 1.38 1.10347
4.81 4.61 1.9 1.39 0.99345
4.81 4.61 1.9 1.4 1.08859
4.81 4.61 1.9 1.41 1.05092
4.81 4.61 1.9 1.42 1.18415
4.81 4.61 1.91 1.38 1.0837
4.81 4.61 1.91 1.39 1.12194
4.81 4.61 1.91 1.4 1.10458
4.81 4.61 1.91 1.41 1.42788
4.81 4.61 1.91 1.42 1.10213
4.81 4.61 1.92 1.38 1.28919
4.81 4.61 1.92 1.39 1.08743
4.81 4.61 1.92 1.4 1.13822
4.81 4.61 1.92 1.41 1.16418
4.81 4.61 1.92 1.42 1.15582
4.81 4.62 1.88 1.38 1.04317
4.81 4.62 1.88 1.39 1.12453
4.81 4.62 1.88 1.4 1.10283
4.81 4.62 1.88 1.41 1.11002
4.81 4.62 1.88 1.42 1.4318
4.81 4.62 1.89 1.38 1.04252
4.81 4.62 1.89 1.39 1.31964
4.81 4.62 1.89 1.4 1.48937
4.81 4.62 1.89 1.41 1.07778
4.81 4.62 1.89 1.42 1.57195
4.81 4.62 1.9 1.38 0.995312
4.81 4.62 1.9 1.39 0.988144
4.81 4.62 1.9 1.4 1.19229
4.81 4.62 1.9 1.41 0.967588
4.81 4.62 1.9 1.42 1.00301
4.81 4.62 1.91 1.38 0.983209
4.81 4.62 1.91 1.39 1.0223
4.81 4.62 1.91 1.4 1.09493
4.81 4.62 1.91 1.41 1.46746
4.81 4.62 1.91 1.42 1.04649
4.81 4.62 1.92 1.38 1.11813
4.81 4.62 1.92 1.39 1.21802
4.81 4.62 1.92 1.4 1.04973
4.81 4.62 1.92 1.41 0.936414
4.81 4.62 1.92 1.42 1.11794
4.82 4.58 1.88 1.38 0.951878
4.82 4.58 1.88 1.39 0.948461
4.82 4.58 1.88 1.4 1.01154
4.82 4.58 1.88 1.41 1.41144
4.82 4.58 1.88 1.42 0.89135
4.82 4.58 1.89 1.38 1.49357
4.82 4.58 1.89 1.39 1.19051
4.82 4.58 1.89 1.4 1.02484
4.82 4.58 1.89 1.41 1.00536
4.82 4.58 1.89 1.42 1.58642
4.82 4.58 1.9 1.38 0.971373
4.82 4.58 1.9 1.39 1.07232
4.82 4.58 1.9 1.4 1.1309
4.82 4.58 1.9 1.41 0.903777
4.82 4.58 1.9 1.42 1.24974
4.82 4.58 1.91 1.38 1.00584
4.82 4.58 1.91 1.39 0.96236
4.82 4.58 1.91 1.4 1.12404
4.82 4.58 1.91 1.41 1.12785
4.82 4.58 1.91 1.42 1.52764
4.82 4.58 1.92 1.38 1.10308
4.82 4.58 1.92 1.39 1.12441
4.82 4.58 1.92 1.4 1.09554
4.82 4.58 1.92 1.41 1.16347
4.82 4.58 1.92 1.42 1.02616
